QuestionId,ConstructId,ConstructName,SubjectId,SubjectName,CorrectAnswer,QuestionText,AnswerAText,AnswerBText,AnswerCText,AnswerDText,MisconceptionAId,MisconceptionBId,MisconceptionCId,MisconceptionDId,source,MisconceptionAName,MisconceptionBName,MisconceptionCName,MisconceptionDName,OriginalQuestionId
61,3118.0,Read a fraction on a scale where the required number is marked by a dash between two numbers,228.0,Ordering Fractions,B,"What fraction should replace the star? ![A number line marked with 1/4, 2/4, 3/4, 4/4, 5/4. The star is halfway between 2/4 and 3/4.]()",\( \frac{3}{8} \),\( \frac{5}{8} \),\( \frac{1}{2} \),None of these,,,,990.0,original,,,,Does not realise you can use equivalent fractions to break fractions up into smaller divisions,
62,2790.0,Calculate the mean from a frequency table,340.0,Averages and Range from Frequency Table,C,"This table shows the number of pets a group of students owns.
If calculating the mean number of pets owned, what would replace the star? \begin{tabular}{|c|c|c|}
\hline Number of pets & Frequency & \\
\hline \( 0 \) & \( 9 \) & \\
\hline \( 1 \) & \( 5 \) & \\
\hline \( 2 \) & \( 4 \) & \( \color{gold}\bigstar \)
\hline \( 3 \) & \( 2 \) & \\
\hline \( 4 \) & \( 3 \) & \\
\hline
\end{tabular}",\( 2+4=6 \),\( 2-4=(-2) \),\( 2 \times 4=8 \),\( 2 \div 4=0.5 \),1068.0,352.0,,2159.0,original,Believes the fx column for calculating mean is value + frequency,Believes the fx column for calculating mean is value - frequency,,Believes the fx column for calculating mean is value/frequency,
63,180.0,Subtract integers up to 4 digits using a written method where carrying is needed,206.0,Written Subtraction,A,"What number should replace the star? \begin{tabular}{cccc}
\(\space\) & \( 9 \) & \( 3 \) & \( 5 \) & \( 2 \) \\
\(-\) & \(4\) & \(5\) & \(7\) & \(\bigstar\)\\
\(\space\) & \(4\) & \(7\) & \(7\) & \(3\)\\
\end{tabular}",\( 9 \),\( 1 \),\( 5 \),It is not possible,,2271.0,1894.0,1751.0,original,,"When solving a problem that requires an inverse operation (e.g. missing number problems), does the original operation",Confuses the part and the whole in missing number subtraction problems,Does not realise we can borrow from the preceding digit in a subtraction problem,
64,1467.0,"Solve one-step linear equations requiring multiplication or division, involving positive decimals",64.0,Linear Equations,B,"Solve the equation:
\[
0.45=0.3 p
\]",\( p=\frac{2}{3} \),\( p=1.5 \),\( p=0.135 \),\( p=0.15 \),2359.0,,975.0,,original,Believes division is commutative ,,"When solving an equation, multiplies instead of dividing ",,
65,1492.0,Solve quadratic equations using the quadratic formula where the coefficient of x² is 1 ,65.0,Quadratic Equations,D,"Vera wants to solve this equation using the quadratic formula.
\(
h^{2}+4=5 h
\)

What should replace the triangle? ![The image shows the structure of the quadratic formula. It says plus or minus the square root, and the triangle is the first thing after the square root sign, with a minus sign after it.]()",\( 8 \),\( -10 \),\( 16 \),\( 25 \),,2316.0,2245.0,,original,,Mixes up squaring and multiplying by 2 or doubling,"When using the formula to solve a quadratic equation, believes that a, b and c are always taken from the 1st, 2nd and 3rd terms, respectively, of the quadratic. ",,
66,306.0,Subtract decimals where the numbers involved have a different number of decimal places,223.0,Adding and Subtracting with Decimals,C,\( 4.72-3.1 \) What should replace the star?,\( 4.41 \),\( 1.71 \),\( 1.62 \),\( 7.82 \),980.0,980.0,,1514.0,original,Hasn't lined up the place value columns when writing out the calculation,Hasn't lined up the place value columns when writing out the calculation,,Adds instead of subtracts,
67,479.0,Calculate the square root of a number,246.0,"Square Roots, Cube Roots, etc",A,What is the square root of nine?,\( 3 \),\( 4.5 \),\( 81 \),\( 18 \),,2248.0,1012.0,2316.0,original,,Halves when asked to find the square root,Squares when asked to find the square root,Mixes up squaring and multiplying by 2 or doubling,
68,1490.0,Solve quadratic equations using completing the square in the form (x + q)² + r ,65.0,Quadratic Equations,B,"One of these equations has no real solutions
Which is it?",\( (w-4)^{2}-16=0 \),\( (w-4)^{2}+16=0 \),\( (w-4)^{2}=0 \),\( (w-4)^{2}-4=0 \),,,882.0,,original,,,Believes 0 has no square root,,
69,2942.0,Compare relative frequencies in order to determine which prediction is likely to be more reliable,110.0,Experimental Probability and Relative Frequency,B,"A vegetarian restaurant wants to know people's eating habits
\( 50 \) people in Town \( A \) are asked if they eat meat. \begin{tabular}{|c|c|}
\hline \multicolumn{2}{|c|}{ Town A } \\
\hline Do you eat meat? & Frequency \\
\hline Yes & \( 39 \) \\
\hline No & \( 11 \) \\
\hline
\end{tabular} \( 200 \) people in Town B are asked if they eat meat. \begin{tabular}{|cc|}
\hline \multicolumn{2}{|c|}{ Town B } \\
\hline Do you eat meat? & Frequency \\
\hline Yes & \( 143 \) \\
\hline No & \( 57 \) \\
\hline
\end{tabular} Which results are more reliable?",Town A,Town B,They are the same,Impossible to say,906.0,,906.0,906.0,original,Does not know that sample size affects reliability,,Does not know that sample size affects reliability,Does not know that sample size affects reliability,
70,586.0,Calculate percentage of an amount using a calculator where the percent is an integer,233.0,Percentages of an Amount,B,"What should replace the star? ![A percentage number line representing the value 630 with a star above the 84% mark]() Use your calculator, if needed, and give your answer to \( 1 \) decimal place.",\( 750 \),\( 529.2 \),\( 546 \),\( 614 \),2023.0,,,,original,Thinks when finding a percentage you divide by the percentage being asked,,,,
71,2908.0,Interpret continuous data using a line graph,117.0,Time Series and Line Graphs,A,"![A line graph with title ""Height of rocket"". 
The x-axis is titled ""Time in seconds"" and the scale is labelled from 0 to 90 seconds in steps of 10 seconds.
The y-axis is titled ""Height in metres"" and the scale is labelled from 0 to 60 in steps of 10 metres. The following points are plotted and joined together: (0, 0), (10, 10), (20, 30),(30, 40), (40, 50), (60, 60).
]() How many metres did the rocket travel between \( 20 \) and \( 50 \) seconds?",\( 25 \),\( 85 \),\( 30 \),\( 55 \),,1887.0,378.0,378.0,original,,Adds instead of subtracts when asked to find the difference,"When finding the difference between two points on a time series graph, only uses one of the points. ","When finding the difference between two points on a time series graph, only uses one of the points. ",
72,922.0,Know the equation of the axes,258.0,Horizontal and Vertical Lines,D,What is the equation of the \( y \) axis?,\( y=1 \),\( y=0 \),\( y=x \),\( x=0 \),2083.0,2113.0,422.0,,original,Thinks y =1 is the y axis,Confuses the equations of vertical and horizontal lines,Thinks x = y is an axis,,
73,208.0,Round integers to the nearest 1000,213.0,"Rounding to the Nearest Whole (10, 100, etc)",D,What is \( 326 \) rounded to the nearest \( 1000 \) ?,\( 1000 \),\( 3000 \),\( 500 \),\( 0 \),1988.0,,1248.0,,original,Rounds up instead of down,,Rounds to the wrong degree of accuracy (rounds too little),,
74,1494.0,Solve quadratic equations using balancing,65.0,Quadratic Equations,D,"One of these equations has no real solutions.
Which is it?",\( t^{2}-45=0 \),\( t^{2}-45=-45 \),\( t^{3}=-45 \),\( t^{2}=-45 \),,1494.0,868.0,,original,,Believes 0 is not a real solution to an equation,Believes a number raised to a power will always give a positive answer,,
75,1505.0,Select the correct answer to an iteration question to the required degree of accuracy,69.0,Trial and Improvement and Iterative Methods,A,"The area of the rectangle on the right is \( 8 \mathrm{~cm}^{2} \).

To find the value of \( x \), Sally uses:
\(x_{n+1}=\frac{8}{9}-\frac{x^{3}{ }_{n}}{9}\)

If \( x_{0}=0 \), what is the value of \( x \) to \( 3 \) decimal places? ![A rectangle with the base labelled x and the perpendicular height labelled x^2 + 9]()",\( 0.826 \),\( 0.830 \),\( 0.825 \),\( 0.8101 \),,1775.0,1775.0,1775.0,original,,Stops iteration too early when solving equations,Stops iteration too early when solving equations,Stops iteration too early when solving equations,
76,2377.0,Recall and use the intersecting diagonals properties of a rectangle,88.0,Properties of Quadrilaterals,C,The diagonals of a rectangle with different length sides \(_____________\) intersect at right-angles ![A rectangle](),always,sometimes,never,I don't know,1180.0,1180.0,,1180.0,original,Does not know the properties of a rectangle,Does not know the properties of a rectangle,,Does not know the properties of a rectangle,
77,960.0,Identify perpendicular lines written in the form y = mx + c,263.0,Perpendicular Lines,B,"Which of the following lines is perpendicular to
\[
y=3 x-2 ?
\]",\( y=\frac{1}{3} x+1 \),\( y=5-\frac{1}{3} x \),\( y=3 x+7 \),\( x=3 y-4 \),925.0,,1917.0,,original,Believes the gradients of perpendicular lines are reciprocals of the same sign,,Confuses the meaning of parallel and perpendicular,,
78,2582.0,"Given the area of a parallelogram, calculate a missing dimension",75.0,Area of Simple Shapes,A,"The area of this parallelogram is \( 24 \mathrm{~cm}^{2} \)

What measurement should replace the star? ![Parallelogram with base length 6cm and the perpendicular height has a star symbol.]()",\( 4 \mathrm{~cm} \),\( 2 \mathrm{~cm} \),\( 8 \mathrm{~cm} \),Not enough information,,272.0,1835.0,2397.0,original,,When finding a missing side of a parallelogram given the area completes an extra step of dividing by 2,When finding the area of a parallelogram finds base x perpendicular height but divides the answer by 2 ,Does not realise we can find a missing length if we know the base of a parallelogram and its area. ,
79,3141.0,Solve quadratic inequalities from the graph of the quadratic,168.0,Solving Quadratic Inequalities,A,"Using the graph of
\(
y=x^{2}-x-6
\)

What is the correct way to write the solution to
\(
y=x^{2}-x-6 \geq 0 ?
\) ![The is a parabolic graph that crosses the x axis at the points (-2,0) and (3,0) and crosses the y axis at (0, -6).]()",\( \{x \leq-2\} \cup\{x \geq 3\} \),\( \{-2 \leq x \leq 3\} \),\( \{-2 \geq x \geq 3\} \),\( \{x \geq-2\} \cup\{x \leq 3\} \),,1771.0,1590.0,1880.0,original,,Believes the solution of a quadratic inequality is always the interval between the roots,Believes any two inequalities can be combined into a double inequality,Mixes up greater than and less than symbols,
80,2930.0,Fill in regions of a double Venn diagram with numbers from given information,344.0,Venn Diagrams,C,"In which region would \( \mathbf{1 5} \) belong? ![A Venn diagram with two sets, one labelled Square number and one labelled Odd number. Square Number without the intersection is labelled A, Odd Number without the intersection is labelled C, the intersection of the two sets is labelled B, and outside the circles is labelled D.]()",A,B,C,D,478.0,478.0,,421.0,original,Does not know what a square number is,Does not know what a square number is,,Mixes up odd and even numbers,
81,30.0,Order integers with a different number of digits,202.0,Place Value,B,"Which of these options show the numbers
650,312  
3,506,212
3,652
605,321
in order from smallest to largest?","\( \begin{array}{l}3,506,212 \\ 3,652 \\ 605,321 \\ 650,312\end{array} \)","\( \begin{array}{l}3,652 \\ 605,321 \\ 650,312 \\ 3,506,212\end{array} \)","\( \begin{array}{l}605,321 \\ 3,506,212 \\ 650,312 \\ 3,652\end{array} \)","\( \begin{array}{l}3,506,212 \\ 650,312 \\ 605,321 \\ 3,652\end{array} \)",1468.0,,1365.0,,original,Orders integers based on first digits without taking into account place value,,"When ordering integers, orders from the digits at the end of the number instead of the digits at the start",,
82,3032.0,Understand inequality notation,165.0,Inequalities on Number Lines,C,"Which of the following shows "" \( x \) is greater than \( 9 \) ""?",\( x<9 \),\( x \leq 9 \),\( x>9 \),\( x \geq 9 \),1880.0,,,1660.0,original,Mixes up greater than and less than symbols,,,"When using inequality notation, thinks ""greater than/less than or equal to"" symbols are instead the ""greater than/less than"" symbols and vice versa",
83,220.0,Round numbers greater than 1 to one significant figure,215.0,Rounding to Significant Figures,A,"Round this number to \( 1 \) significant figure:
\( 400099 \)",\( 400000 \),\( 500000 \),\( 400100 \),\( 400099 \),,1988.0,1744.0,,original,,Rounds up instead of down,Rounded to nearest 100 instead of 1sf,,
84,920.0,Recognise the equations of horizontal lines from a diagram,258.0,Horizontal and Vertical Lines,B,What is the equation of this line? ![A graph of a horizontal line going through 3 on the y axis. ](),\( y=3 x \),\( y=3 \),\( x=3 \),\( x=3 y \),1568.0,,642.0,2301.0,original,Includes the x variable when giving the equation of a horizontal line,,Thinks x = ? is a horizontal line through ? ,"Believes the equation of a horizontal line is in the form x = ay, where a is the y intercept",
